,category,sub_category,sub_sub_category,title,description,gender
3669,clothing,dresses,evening dresses,"Talbot Runhof Konica Sequined Cape-Back Gown, Navy","""Talbot Runhof """"Konica"""" sequined gown. Bateau neckline; V'd back. Three-quarter sleeves; draped across back. Fitted silhouette. Straight hem. Hidden back zip. Polyester/spandex. Acetate/nylon/spandex interfacing. Cupro/spandex lining. Triacetate/polyester sleeve lining. Made in Germany.""",womens
3670,clothing,tops,dress shirts,,Slim Fit Non-Iron 2-Ply Cotton Pinpoint Stripe Button Down Collar Dress Shirt,mens
3671,sports & outdoors,team shop,team clothing,Pittsburgh Pirates Cutter & Buck Junction Stripe DryTec Polo - White/Gray,"You're a die-hard Pittsburgh Pirates fan and love to show your loyalty any time you can, but you feel you're missing the shirt that will show how deep your fandom truly goes. This Pittsburgh Pirates Junction Stripe DryTec polo from Cutter & Buck is the answer for you. It features a distinctive White and Gray color scheme with Pittsburgh Pirates graphics on the chest so everyone will see your fandom on display. It's also constructed with DryTec technology which wicks away moisture from your body to keep you comfortable.",unisex
3672,clothing,outerwear,None,"Boss Hugo Boss Jorden Mini-Check Slim-Fit Wool Sport Coat, Gray","""BOSS Hugo Boss """"Jorden"""" mini-check sport coat. Notched lapel; two-button front. Finished sleeves; four-button detail at cuffs. Front and chest welt pockets. Double-vented back. Wool; cupro lining. Imported.""",mens
3673,sports & outdoors,team shop,team clothing,Men's Los Angeles Rams James Laurinaitis Pro Line Navy Big & Tall Team Color Jersey,"The official Los Angeles Rams Pro Line NFL jersey is manufactured on behalf of NFL Shop and is not manufactured by Nike. The Pro Line NFL jersey is only sold through NFL Shop. The Pro Line NFL jersey is crafted with polyester premier mesh and designed with printed front and back numbers, letters, and logos. The Nike logo does not appear on this jersey.",None
3674,sports & outdoors,team shop,team clothing,Tampa Bay Rays Women's Team Color Primary Logo Pullover Hoodie - Navy,"Sure you can go around and tell everyone how dedicated you are to the Tampa Bay Rays, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Tampa Bay Rays fan with this Primary Logo hoodie! This hoodie boasts your team pride with Tampa Bay Rays graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
3675,kids & baby,baby,baby clothes,,,baby & toddler
3676,sports & outdoors,team shop,team clothing,Nike Tampa Bay Buccaneers Heathered Gray Champ Drive AV15 Performance Pullover Hoodie,Show everyone that supporting the Tampa Bay Buccaneers is serious business in this Nike Champ Drive AV15 hoodie. It's a no-frills way to sport some pride for your favorite football squad with its simple design featuring warm Therma-FIT fabric technology. Elevate any ensemble to victorious levels with the bold Tampa Bay Buccaneers graphics on the left chest of this pullover.,None
3677,sports & outdoors,team shop,None,"""Fanatics Authentic 2007 Colts vs. Bears 10.5"""" x 14"""" Matted Super Bowl XLI Program""","""In Super Bowl XLI on February 4, 2007, the Indianapolis Colts defeated the Chicago Bears 29-17, behind the stellar play of MVP Peyton Manning. Here's the original replica cover art from that day's game program. Officially licensed by the National Football League. Beautiful 10.5"""" x 14"""" paper print, in 16"""" x 20"""" double matte. Suitable for readymade frames or hanging as is. Overall dimensions 16"""" x 20"""" x 1"""".""",unisex
3679,sports & outdoors,team shop,team clothing,Women's New York Rangers Concepts Sport Blue/Red Ovation Flannel Pajama Pants,Relax and embrace your New York Rangers enthusiasm with these comfy Ovation flannel pajama pants from Concepts Sport. These pants are a great way to bask in the glory of your favorite team this season.,None
3680,clothing,skirts,None,Max Mara Textured Virgin Wool Skirt,"""Textured virgin wool skirt with contrasting panels  Slash pockets  Concealed back zipper  Lined  Virgin wool  Dry clean  Imported  Model shown is 5'10"""" (177cm) wearing US size 4.""",womens
3681,sports & outdoors,team shop,team clothing,Richmond Spiders Classic Wordmark Pullover Hoodie - Navy,"Sure you can go around and tell everyone how dedicated you are to the Richmond Spiders, but there is a much easier way to get your point across. Let everyone you pass know that you are a born and bred Richmond Spiders fan with this Classic Wordmark hoodie! This hoodie boasts your team pride with Richmond Spiders graphics. There are many ways to show your team spirit, but this way you won't lose your voice.",unisex
3682,shoes,flats,ballet flats,Valentino Tango Leather Ankle-Wrap Flat,"""Valentino leather flat. 0.3"""" flat heel. Round toe. Adjustable ankle strap. Leather lining and sole. """"Tango"""" is made in Italy.""",womens
3683,accessories,eyeglasses,None,Arnette Component AN6097 Eyeglasses-Men's black,"Arnette is dedicated to progressive design, maximum functionality and unparalleled quality.  Its eyewear is fashion forward and functional.",mens
3684,sports & outdoors,team shop,team clothing,Men's Miami Dolphins Jay Ajayi Nike Aqua Throwback Game Jersey,"Cheer for the Miami Dolphins with this Jay Ajayi Game jersey from Nike! Featuring printed Miami Dolphins and Jay Ajayi graphics, this jersey is the perfect way to look great and show your pride.",unisex
3685,sports & outdoors,team shop,team clothing,Ronald Darby Player Issued Long Sleeve T-Shirt - Ash,You'll do whatever it takes to show your support for your Ronald Darby and this NFLPA tee is the perfect way to show everyone your dedication to being his biggest fan. An NFLPA graphic sits just above the player's name and number on the chest of this awesome tee. You'll follow him no matter where he goes and this tee proves it! Rock this tee in the stands and you're sure to make friends with everyone who loves him just as much as you do.,unisex
3686,,None,None,THE SMOCKED RAGLAN TEE,,None
3687,sports & outdoors,team shop,team clothing,Men's Pittsburgh Pirates New Era Steel/Black French Terry Sweatshirt,Show your love for the Pittsburgh Pirates with this French Terry sweatshirt from New Era! It features authentic Pittsburgh Pirates graphics that'll let everyone know where your fandom lies!,unisex
3688,,None,None,,,unisex
3689,,None,None,ExOfficio Give-N-Go Sport Mesh Brief,"The new Sport Mesh brief pairs ergonomic fit with ultralight mesh for active performance. Whether you're cycling through Patagonia, trekking in Thailand, or trail running in your home range, the Sport Mesh will keep you cool, fresh, and comfortable.",None
3690,sports & outdoors,team shop,team clothing,Anthony Rizzo Chicago Cubs Fanatics Branded Backer Long Sleeve T-Shirt - Gray,Sport your pride for the Chicago Cubs anytime with this Anthony Rizzo Backer T-shirt from Fanatics Branded. It features vivid graphics that will let everyone know which player is your favorite as the team takes on the competition. Go all out as the greatest Chicago Cubs fan around when you don this sweet Anthony Rizzo tee.,None
3691,sports & outdoors,team shop,None,Houston Texans WinCraft Football Shaped Car Flag,Show off your #1 Houston Texans fan status while hitting the road with this WinCraft Football Shaped Car Flag. This awesome flag features a unique football shaped design with your favorite team logo. Now you can catch some true Houston Texans enthusiasm on your way to the next game with this awesome car flag.,None
3692,sports & outdoors,team shop,team clothing,Concepts Sport Los Angeles Kings Black Sweep Printed Knit Boxers,"You're the type to keep your Los Angeles Kings style rocking no matter what. Wear these Sweep printed knit boxers by Concepts Sport when you want to keep your pride close. With a comfortable elastic waistband and bold team graphics, you'll feel great knowing that nothing can get in between you and your Los Angeles Kings flair.",unisex
3693,clothing,activewear,active tops,,,womens
3694,clothing,underwear & intimates,underwear,La Perla Rosa G-String,A delicate lace design adds a sweet touch to this sexy silhouette.    Scalloped edges  Lined gusset  Nylon/elastane  Hand wash  Imported,womens
3695,accessories,belts & buckles,None,METALLIC PAISLEY BELT,100% LEATHER,womens
3696,shoes,None,None,Sorel 1964 Premium Wedge Boot - Womens,"Products on Sale are Discontinued Styles or Colors.      FEATURES of the Sorel Women's 1964 Premium Wedge Boot   Upper: Waterproof full-grain leather and textile  Microfiber lining  Footbed: Removable molded EVA footbed with heel cup and arch support, synthetic topcover  Midsole: Molded BPU-PU wedge  Outsole: Molded rubber outsole",womens
3697,home & pet,patio & garden,None,Sunjoy Fresh 3-pc. High Bistro Set,"""Web exclusive! Warm, sunny days are even better relaxing on the Sunjoy fresh 3-pc. high bistro set. From Sunjoy, this set comes with two roomy swivel chairs with a wide curving back support and plush beige cushions for exceptional comfort. Completed with a coordinating tall round table, this 3-piece set is a fabulous addition to any outdoor space.     Featured in brown     Includes: table and two chairs     Chairs: 43"""" x 25"""" x 29""""     Table: 41.9 x 29"""" x 29""""     Water and UV-resistant     No assembly required     Aluminum/polyethylene wicker     Imported""",None
3698,sports & outdoors,team shop,team home & pet,Minnesota Vikings Field Portable Picnic Table - Black,Make a statement as you crank it up for the next pre-game party with this Minnesota Vikings portable picnic table! This table is ideal for a true Minnesota Vikings fanatic like you who doesn't mind flaunting some team spirit every chance you get. It features authentic team colors and quality Minnesota Vikings graphics boldly printed at the surface.,None
3699,clothing,skirts,None,"Marc Jacobs Pleated A-Line Skirt, Black","""Marc Jacobs stretch-cotton skirt. Approx. 24""""L from waist to hem. Sits at the natural waist. A-line silhouette. Pleats fall from hips. Straight hem. Silk; lining, wool/spandex. Dry clean. Imported of Italian material.""",womens
3700,,None,None,,"Keep strong from start to finish of your workouts in these Under Armour Zone training shoes. An aggressive EVA foam midsole ensures on-point shock absorption and cushioning, while the rubber outsole with flex grooves offers just-right bend (where you need it the most).    Featured in grey / blue     Stitched leather and mesh upper delivers breathability and superior durability     Full length cushioned sock liner for comfort     Aggressive EVA foam midsole for shock absorption, cushioning and comfort     Rubber outsole provides superior traction with flex grooves for extra flexibility where you need it the most     Imported",unisex
